Name,Team,W,L,G,IP,ERA,WAR,playerid
Griffin Canning,Angels,5,5,17,88.1,4.18,1.4,19867
Tyler Skaggs,Angels,7,7,15,79.2,4.29,1.8,10190
Andrew Heaney,Angels,4,6,18,95.1,4.91,1.2,15423
Jaime Barria,Angels,2,7,13,60.1,5.52,-0.4,18356
Dillon Peters,Angels,3,4,12,55.2,5.82,-0.4,18790
Jose Suarez,Angels,2,6,15,67,6.85,-0.5,19911
Trevor Cahill,Angels,2,5,11,53.1,6.92,-0.5,6249
Matt Harvey,Angels,3,5,12,59.2,7.09,-0.3,11713
Aaron Sanchez,Astros,5,14,27,131.1,5.89,0.8,11490
Gerrit Cole,Astros,20,5,33,212.1,2.5,7.4,13125
Justin Verlander,Astros,21,6,34,223,2.58,6.4,8700
Zack Greinke,Astros,18,5,33,208.2,2.93,5.4,1943
Wade Miley,Astros,14,6,33,167.1,3.98,2,8779
Brad Peacock,Astros,5,6,15,80.2,4.24,1.1,5401
Tanner Roark,Athletics,10,10,31,165.1,4.35,2,8753
Homer Bailey,Athletics,13,9,31,163.1,4.57,2.9,8362
Frankie Montas,Athletics,9,2,16,96,2.63,3,14309
Brett Anderson,Athletics,13,9,31,176,3.89,2,8223
Mike Fiers,Athletics,15,4,33,184.2,3.9,1.7,7754
Chris Bassitt,Athletics,10,5,25,139,3.95,2,12304
Jacob Waguespack,Blue Jays,4,5,13,65.1,4.13,0.7,18318
Trent Thornton,Blue Jays,5,9,29,139.1,5.04,1.6,17948
Clay Buchholz,Blue Jays,2,5,12,59,6.56,0.1,3543
Mike Soroka,Braves,13,4,29,174.2,2.68,4,18383
Dallas Keuchel,Braves,8,8,19,112.2,3.75,0.8,9434
Julio Teheran,Braves,10,11,33,174.2,3.81,1.6,6797
Max Fried,Braves,17,6,30,160.1,4.15,2.9,13743
Mike Foltynewicz,Braves,8,6,21,117,4.54,0.8,10811
Drew Pomeranz,Brewers,2,9,18,75.1,5.97,-0.3,11426
Zach Davies,Brewers,10,7,31,159.2,3.55,1.6,13183
Brandon Woodruff,Brewers,11,3,22,121.2,3.62,3.3,16162
Gio Gonzalez,Brewers,2,2,17,81,3.78,1.2,7448
Jordan Lyles,Brewers,12,8,28,141,4.15,1.6,7593
Chase Anderson,Brewers,7,4,27,129,4.19,1.3,6895
Adrian Houser,Brewers,2,7,18,80.2,4.57,1.1,12718
Jack Flaherty,Cardinals,11,8,33,196.1,2.75,4.7,17479
Dakota Hudson,Cardinals,16,7,32,174,3.36,1.1,19206
Miles Mikolas,Cardinals,9,14,32,184,4.16,2.5,9803
Adam Wainwright,Cardinals,14,10,31,171.2,4.19,2.2,2233
Michael Wacha,Cardinals,5,7,24,114,4.66,0,14078
Kyle Hendricks,Cubs,11,10,30,177,3.46,4.1,12049
Cole Hamels,Cubs,7,7,27,141.2,3.81,2.5,4972
Yu Darvish,Cubs,6,8,31,178.2,3.98,2.6,13074
Jon Lester,Cubs,13,10,31,171.2,4.46,2.8,4930
Jose Quintana,Cubs,13,9,31,167,4.8,3.3,11423
Mike Leake,Diamondbacks,12,11,32,197,4.29,1,10130
Zac Gallen,Diamondbacks,3,6,15,80,2.81,1.6,19291
Luke Weaver,Diamondbacks,4,3,12,64.1,2.94,1.8,16918
Alex Young,Diamondbacks,7,5,15,77,3.86,0.5,18333
Robbie Ray,Diamondbacks,12,8,33,174.1,4.34,2.4,11486
Merrill Kelly,Diamondbacks,13,14,32,183.1,4.42,2,11156
Taylor Clarke,Diamondbacks,4,4,15,64.1,5.88,-0.4,17611
Hyun-Jin Ryu,Dodgers,14,5,29,182.2,2.32,4.8,14444
Rich Hill,Dodgers,4,1,13,58.2,2.45,0.9,4806
Clayton Kershaw,Dodgers,16,5,28,177.1,3.05,3.4,2036
Walker Buehler,Dodgers,14,4,30,182.1,3.26,5,19374
Ross Stripling,Dodgers,2,3,15,70,3.6,1.5,13273
Kenta Maeda,Dodgers,8,8,26,137,4.14,2.3,18498
Jeff Samardzija,Giants,11,12,32,181.1,3.52,1.5,3254
Madison Bumgarner,Giants,9,9,34,207.2,3.9,3.2,5524
Tyler Beede,Giants,5,9,22,112.2,5.03,0.2,16981
Shaun Anderson,Giants,3,4,16,82.2,5.33,0.4,19453
Dereck Rodriguez,Giants,5,10,16,78.1,5.4,-0.5,14509
Aaron Civale,Indians,3,4,10,57.2,2.34,1.5,19479
Mike Clevinger,Indians,13,4,21,126,2.71,4.5,12808
Shane Bieber,Indians,15,8,33,212.1,3.26,5.6,19427
Zach Plesac,Indians,8,6,21,115.2,3.81,1,19979
Adam Plutko,Indians,7,5,20,104.2,4.64,0.7,15846
Carlos Carrasco,Indians,4,6,12,65,4.98,1.1,6632
Marco Gonzales,Mariners,16,13,34,203,3.99,3.7,15467
Yusei Kikuchi,Mariners,6,11,32,161.2,5.46,0.2,20633
Felix Hernandez,Mariners,1,8,15,71.2,6.4,-0.1,4772
Sandy Alcantara,Marlins,6,14,32,197.1,3.88,2.3,18684
Jordan Yamamoto,Marlins,4,5,15,78.2,4.46,0.9,17585
Caleb Smith,Marlins,10,11,28,153.1,4.52,1,14875
Elieser Hernandez,Marlins,3,4,15,74.2,4.58,0.4,16933
Jose Urena,Marlins,4,7,13,74.2,4.7,0.7,11589
Pablo Lopez,Marlins,5,8,21,111.1,5.09,1.6,17085
Jacob deGrom,Mets,11,8,32,204,2.43,7,10954
Marcus Stroman,Mets,10,13,32,184.1,3.22,3.9,13431
Zack Wheeler,Mets,11,8,31,195.1,3.96,4.7,10310
Steven Matz,Mets,11,10,30,159.1,4.24,1.6,13361
Noah Syndergaard,Mets,10,8,32,197.2,4.28,4.4,11762
Max Scherzer,Nationals,11,7,27,172.1,2.92,6.5,3137
Patrick Corbin,Nationals,14,7,33,202,3.25,4.8,9323
Stephen Strasburg,Nationals,18,6,33,209,3.32,5.7,10131
Anibal Sanchez,Nationals,11,8,30,166,3.85,2.5,3284
Erick Fedde,Nationals,4,2,12,60.1,4.48,0.1,17425
Aaron Brooks,Orioles,5,8,18,82,6.59,0.3,12272
John Means,Orioles,10,11,27,147.1,3.73,2.8,16269
Dylan Bundy,Orioles,7,14,30,161.2,4.79,2.5,12917
Asher Wojciechowski,Orioles,4,8,16,81.2,4.96,0.9,10836
Gabriel Ynoa,Orioles,0,9,13,64.1,6.02,-0.6,12938
David Hess,Orioles,1,10,14,67.2,7.18,-0.6,16130
Chris Paddack,Padres,9,7,26,140.2,3.33,2.4,20099
Dinelson Lamet,Padres,3,5,14,73,4.07,1.3,17186
Joey Lucchesi,Padres,10,10,30,163.2,4.18,2.1,19320
Eric Lauer,Padres,8,10,29,148.1,4.49,2.2,19316
Matt Strahm,Padres,3,7,16,81.2,5.29,0.4,13799
Cal Quantrill,Padres,4,8,18,91.2,5.69,1,19312
Nick Margevicius,Padres,2,6,12,53.1,6.41,-0.1,20395
Jason Vargas,Phillies,7,9,29,148.2,4.3,1.8,8044
Drew Smyly,Phillies,4,6,21,98,5.69,0.2,11760
Aaron Nola,Phillies,12,7,34,202.1,3.87,3.4,16149
Zach Eflin,Phillies,10,13,28,157.2,4.22,1.5,13774
Jake Arrieta,Phillies,8,8,24,135.2,4.64,1.1,4153
Vince Velasquez,Phillies,6,7,23,107,4.96,0.7,11189
Jerad Eickhoff,Phillies,3,4,10,53.1,5.4,-0.3,12664
Nick Pivetta,Phillies,4,4,13,69,5.74,0,15454
Joe Musgrove,Pirates,11,12,31,168.1,4.49,3.3,12970
Steven Brault,Pirates,3,5,19,95.2,4.99,1.2,15291
Dario Agrazal,Pirates,4,5,14,71.1,5.05,-0.1,15821
Chris Archer,Pirates,3,9,23,119.2,5.19,0.7,6345
Trevor Williams,Pirates,7,9,26,145.2,5.38,1,16977
Mike Minor,Rangers,14,10,32,208.1,3.59,4.2,10021
Lance Lynn,Rangers,16,11,33,208.1,3.67,6.8,2520
Adrian Sampson,Rangers,3,7,15,78.2,6.41,0.1,13339
Ariel Jurado,Rangers,5,9,18,93,6.68,0.8,17030
Trevor Richards,Rays,4,12,23,123.1,4.38,1.4,19309
Tyler Glasnow,Rays,6,1,12,60.2,1.78,2.3,14374
Charlie Morton,Rays,16,6,33,194.2,3.05,6.1,4676
Yonny Chirinos,Rays,6,5,18,104.1,3.54,1.6,16401
Blake Snell,Rays,6,8,23,107,4.29,2.7,13543
Ryan Yarbrough,Rays,3,5,14,85.2,4.31,1.9,16502
Andrew Cashner,Red Sox,10,7,23,126.2,4.83,1.5,8782
Jhoulys Chacin,Red Sox,3,12,24,102.1,6.07,-0.1,2608
Eduardo Rodriguez,Red Sox,19,6,34,203.1,3.81,3.7,13164
David Price,Red Sox,7,5,22,107.1,4.28,2.3,3184
Chris Sale,Red Sox,6,11,25,147.1,4.4,3.6,10603
Rick Porcello,Red Sox,14,12,32,174.1,5.52,1.8,2717
Nathan Eovaldi,Red Sox,1,1,12,54.1,6.13,-0.6,9132
Trevor Bauer,Reds,11,13,34,213,4.48,3.3,12703
Kevin Gausman,Reds,3,8,17,82,6.37,1.2,14107
Sonny Gray,Reds,11,8,31,175.1,2.87,4.4,12768
Luis Castillo,Reds,15,8,32,190.2,3.4,4.1,15689
Anthony DeSclafani,Reds,9,9,31,166.2,3.89,2.4,13050
Tyler Mahle,Reds,3,12,25,129.2,5.14,1.4,16358
Jon Gray,Rockies,11,8,25,149.2,3.85,3.1,14916
German Marquez,Rockies,12,5,28,174,4.76,3.4,15038
Chi Chi Gonzalez,Rockies,1,5,12,58,5.43,0.2,14663
Jeff Hoffman,Rockies,2,6,15,70,6.56,-0.4,17432
Antonio Senzatela,Rockies,11,11,25,124.2,6.71,0.7,15488
Kyle Freeland,Rockies,3,11,22,104.1,6.73,0.1,16256
Peter Lambert,Rockies,3,7,19,89.1,7.25,0.1,17969
Brad Keller,Royals,7,14,28,165.1,4.19,2.2,15734
Danny Duffy,Royals,7,6,23,130.2,4.34,1.3,3542
Mike Montgomery,Royals,2,7,13,64,4.64,0.3,4869
Jakob Junis,Royals,9,14,31,175.1,5.24,1.5,13619
Glenn Sparkman,Royals,4,10,23,118.1,6.31,-0.4,15200
Jorge Lopez,Royals,3,8,18,86.1,6.57,-0.5,14527
Edwin Jackson,Tigers,2,9,13,55.1,9.76,-0.6,1841
Daniel Norris,Tigers,3,13,29,136,4.5,2.1,13475
Matthew Boyd,Tigers,9,12,32,185.1,4.56,3.3,15440
Spencer Turnbull,Tigers,3,17,30,148.1,4.61,2.9,16207
Jordan Zimmermann,Tigers,1,13,23,112,6.91,1.3,4505
Jake Odorizzi,Twins,15,7,30,159,3.51,4.3,6397
Jose Berrios,Twins,14,8,32,200.1,3.68,4.4,14168
Michael Pineda,Twins,11,5,26,146,4.01,2.7,5372
Kyle Gibson,Twins,13,7,29,154.2,4.89,2.5,10123
Martin Perez,Twins,9,7,29,157,4.99,1.8,6902
Lucas Giolito,White Sox,14,9,29,176.2,3.41,5.1,15474
Ivan Nova,White Sox,11,12,34,187,4.72,2,1994
Reynaldo Lopez,White Sox,10,15,33,184,5.38,2.3,16400
Dylan Cease,White Sox,4,7,14,73,5.79,0.7,18525
Ross Detwiler,White Sox,3,5,12,57,5.84,-0.3,2859
James Paxton,Yankees,15,6,29,150.2,3.82,3.5,11828
Domingo German,Yankees,16,4,24,134.2,4.28,1.5,17149
Masahiro Tanaka,Yankees,11,8,31,179,4.47,3.2,15764
CC Sabathia,Yankees,5,8,22,106.1,4.99,0.4,404
J.A. Happ,Yankees,12,8,30,156.1,5.01,1.1,7410
